CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
311001032246,PREK,1.6,4,108104,0.4,2021-02-15,2021-03-05
311001087288,PREK,39.6,1,107102,1,2021-02-15,2021-03-05
311001090912,PREK,2.2,32,004203,0.06875,2021-02-15,2021-03-05
311279000353,PREK,8,65,006420,0.12307692307692308,2021-02-15,2021-03-05
311001001022,PREK,10.4,96,008205,0.10833333333333334,2021-02-15,2021-03-05
311001093601,PREK,3.4000000000000004,51,009113,0.06666666666666668,2021-02-15,2021-03-05
311001102520,PREK,4.6000000000000005,39,001424,0.11794871794871796,2021-02-15,2021-03-05
311848000936,PREK,19.200000000000003,2,008537,1,2021-02-15,2021-03-05
311001008213,PREK,1.2000000000000002,16,002404,0.07500000000000001,2021-02-15,2021-03-05
411769001042,PREK,7,65,107107,0.1076923076923077,2021-02-15,2021-03-05
311001027200,PREK,1.4000000000000001,13,001404,0.1076923076923077,2021-02-15,2021-03-05
311848000456,PREK,9,18,008505,0.5,2021-02-15,2021-03-05
311769000548,PREK,0.6000000000000001,30,107106,0.020000000000000004,2021-02-15,2021-03-05
311102000779,PREK,1.8,26,004586,0.06923076923076923,2021-02-15,2021-03-05
311769000475,PREK,8,70,009247,0.11428571428571428,2021-02-15,2021-03-05
311001087750,PREK,0.2,9,009113,0.022222222222222223,2021-02-15,2021-03-05
311769003342,PREK,42,6,107102,1,2021-02-15,2021-03-05
311769000998,PREK,9.200000000000001,145,009110,0.06344827586206897,2021-02-15,2021-03-05
311001090921,PREK,26,24,107102,1,2021-02-15,2021-03-05
411848001058,PREK,8.4,57,108101,0.1473684210526316,2021-02-15,2021-03-05
311001088187,PREK,3.6,35,004505,0.10285714285714286,2021-02-15,2021-03-05
311848001011,PREK,58.800000000000004,26,008530,1,2021-02-15,2021-03-05
311001038783,PREK,1.6,31,001424,0.05161290322580645,2021-02-15,2021-03-05
311001041351,PREK,0,30,009113,0,2021-02-15,2021-03-05
311769003008,PREK,3.4000000000000004,5,009201,0.68,2021-02-15,2021-03-05
311001003271,PREK,2,17,008525,0.11764705882352941,2021-02-15,2021-03-05
311848003811,PREK,0.6000000000000001,5,107107,0.12000000000000002,2021-02-15,2021-03-05
311769004250,PREK,7,35,009207,0.2,2021-02-15,2021-03-05
311001109842,PREK,1.8,5,009141,0.36,2021-02-15,2021-03-05
311001076677,PREK,0.8,22,009267,0.03636363636363637,2021-02-15,2021-03-05
311001076677,PREK,0.8,22,009267,0.03636363636363637,2021-02-15,2021-03-05
